id V1 win_mid pi_n winpi frac_utr frac_cds entropy ling_complex exp d_xy_n d_xy_meanm frac_GC
chr1 1 NA NA NA NA NA NA NA NA NA 332 0.0550383351588171 NA
chr1 10000001 chr1 10005000 1988 0.00439454911285897 0.1747 0.159 0.999148255593644 0.873278217951277 3 1828 0.0323223913212972 0.478248
chr1 1000001 chr1 1005000 1675 0.000446717461642835 0.1073 0.1813 0.989545217580561 0.964693572702053 4 1223 0.0183259095769317 0.416242
chr1 100001 NA NA NA NA NA NA NA NA NA 729 0.011866163100731 NA
chr1 10001 NA NA NA NA 0 0 0.990992100643347 0.95829862808131 0 NA NA 0.425843
chr1 10010001 chr1 10015000 1450 0.00358138413310827 0.1441 0.0311 0.994651716044442 0.963330602804414 1 1278 0.0145299926990068 0.440144
chr1 10020001 NA NA NA NA 0.2192 0.1363 0.982004382455068 0.947670216354262 3 564 0.0305910992081205 0.390539
chr1 10030001 chr1 10035000 1552 0.00369038178316529 0.157 0.4346 0.998851101716158 0.966049658913341 3 1293 0.0225340913275948 0.480448
chr1 10040001 NA NA NA NA 0.1767 0.2858 0.995052159207772 0.963282416999952 3 792 0.0283060584196948 0.443244
chr1 10050001 NA NA NA NA NA NA NA NA NA 1364 0.0268982239656726 NA
chr1 10060001 chr1 10065000 1057 0.00476190476190476 0.1334 0.0392 0.974845420490859 0.955696594640362 1 731 0.0363580104346178 0.369237
chr1 10070001 NA NA NA NA 0.0826 0.1341 0.987280190369151 0.956281707980258 3 671 0.012046696472926 0.406741
chr1 10080001 chr1 10085000 1358 0.0113203193468289 0.0759 0.033 0.961468425272324 0.946045666375257 4 861 0.0414404604300075 0.339634
chr1 10090001 NA NA NA NA 0.129 0.0524 0.972555361712992 0.949515044296522 4 241 0.0328806739595121 0.363236
chr1 10100001 NA NA NA NA 0.1654 0.0858 0.993535573280475 0.960539314586261 0 168 0.0201298701298701 0.206621
chr1 1010001 chr1 1015000 1808 0.00209815995214225 0.0693 0.09 0.971172543178562 0.945550040957934 4 1750 0.0169284049284049 0.362436
chr1 10110001 NA NA NA NA 0 0 0.954965175439657 0.931261615187372 0 NA NA 0.090609
chr1 10120001 NA NA NA NA 0.1248 0.2718 0.996341583092247 0.96463850321124 3 NA NA 0.450145
chr1 10130001 chr1 10135000 1400 0.00315241900956186 0.0306 0.1136 0.9852113033117 0.962002051338533 2 241 0.00893712097031599 0.39914
chr1 10140001 NA NA NA NA 0.02 0.1695 0.990625800187646 0.950664619917258 2 NA NA 0.419842
chr1 10150001 chr1 10155000 1375 0.00295333757151939 0.101 0.2639 0.994527864948288 0.965726125654811 3 NA NA 0.441544
chr1 10160001 NA NA NA NA 0 0 0.998706935044403 0.960893777835907 0 NA NA 0.475248
chr1 10170001 NA NA NA NA 0 0 0.998222219884379 0.961692285452706 0 NA NA 0.474447
chr1 10180001 NA NA NA NA 0.0867 0.0668 0.99194766471816 0.95014834344088 2 638 0.0192387941212393 0.428143
chr1 10190001 NA NA NA NA 0.0483 0.1069 0.995225425980643 0.962105306633809 3 294 0.014433978719693 0.453845
chr1 10200001 chr1 10205000 1344 0.00270684176934177 0.135 0.2867 0.994487575760903 0.965939519931714 3 1219 0.00981923463465711 0.438544
chr1 1020001 chr1 1025000 1503 0.00157261235105546 0.2082 0.159 0.97776198305885 0.956405614334588 1 1309 0.0132416603004838 0.377238
chr1 10210001 NA NA NA NA 0.144 0.1248 0.986607362037139 0.960859359404148 3 855 0.0207142954511376 0.405741
chr1 10220001 chr1 10225000 2181 0.000649281942266813 0.1096 0.1512 0.996482360732806 0.899869898327953 3 1640 0.0335396564817297 0.453845
chr1 10230001 chr1 10235000 1690 0.0024977586516048 0.0662 0.0945 0.987207912558808 0.944809642186741 2 1237 0.0319559448904639 0.389339
chr1 10250001 NA NA NA NA 0 0 0.988752543019133 0.95054994590696 0 NA NA 0.077708
chr1 10270001 NA NA NA NA 0.0181 0.1277 0.986668015098551 0.961635810997513 1 NA NA 0.246025
chr1 10290001 NA NA NA NA 0.0666 0.0538 0.991641507298639 0.962208910722144 2 619 0.0195329710677045 0.327733
chr1 10300001 chr1 10305000 1204 0.0011653075606564 0.1659 0.1741 0.985658668743324 0.954794831728287 2 435 0.0627675772503359 0.40124
chr1 1030001 NA NA NA NA NA NA NA NA NA 1467 0.02016388519456 NA
chr1 10310001 chr1 10315000 1956 0.0010255933568817 0.0573 0.1224 0.987449166073557 0.933758286237446 2 1245 0.0251064865522697 0.407841
chr1 10320001 chr1 10325000 1515 0.00311384984652312 0.0542 0.1148 0.98293885495168 0.912480811724295 3 736 0.0423151350461133 0.392239
chr1 10330001 NA NA NA NA 0 0 0.94564235694129 0.937065533529982 0 210 0.0867913832199547 0.09821
chr1 10350001 NA NA NA NA 0 0 0.989686097466225 0.957453004644932 0 193 0.0518134715025907 0.188519
chr1 10380001 NA NA NA NA 0 0 0.98493102050209 0.958729093537064 0 105 0.0152380952380952 0.10091
chr1 1040001 NA NA NA NA NA NA NA NA NA 800 0.0221740967365967 NA
chr1 10410001 chr1 10415000 2053 0.00103765369230542 0.1818 0.0671 0.991479913448352 0.962671379982959 2 1695 0.0276794493608653 0.413941
chr1 10420001 NA NA NA NA NA NA NA NA NA 1381 0.0366993614640247 NA
chr1 10430001 chr1 10435000 1271 0.00253439191283408 0 0 0.963905319584761 0.947601379490745 0 618 0.0650755124056095 0.344134
chr1 10440001 NA NA NA NA 0.117 0.081 0.991456760266956 0.965943974286437 3 487 0.0332462198991973 0.238724
chr1 10460001 NA NA NA NA 0.0649 0.0361 0.992955400190345 0.955359603196473 0 413 0.0336965294592413 0.164116
chr1 10470001 NA NA NA NA NA NA NA NA NA 2152 0.0259901189269219 NA
chr1 10480001 chr1 10485000 1433 0.00181453810204682 0.0302 0.0209 0.965786058442582 0.956464139314754 0 1341 0.0183473002264949 0.245525
chr1 10500001 chr1 10505000 1182 0.00153250584722666 0.1204 0.0799 0.978559488937869 0.94568063556442 1 750 0.0101277389277389 0.228723
chr1 1050001 NA NA NA NA 0 0 0.950149852408079 0.939864116031417 0 275 0.0433057851239669 0.316332
chr1 10510001 chr1 10515000 1626 0.00101153459087038 0.0784 0.1771 0.98601624462786 0.962745489464518 2 1085 0.0260643734146038 0.40204
chr1 10520001 chr1 10525000 1349 0.000916503807534203 0 0.0299 0.977113048054616 0.958755605021243 0 174 0.0350052246603971 0.236224
chr1 10540001 NA NA NA NA 0 0 0.987781771764285 0.95477914174798 0 NA NA 0.180318
chr1 10550001 chr1 10555000 1769 0.00279219555646916 0.0679 0.0511 0.984515015305818 0.962201678242733 0 684 0.0429292929292929 0.39704
chr1 10560001 chr1 10565000 2015 0.000439246444209223 0.1104 0.2258 0.988712054523625 0.964597201093129 3 1232 0.0178571428571429 0.421042
chr1 10570001 chr1 10575000 2275 0.00203796203796204 0.0437 0.2726 0.988792972512474 0.963103441154807 3 1693 0.0351156276289176 0.418242
chr1 10580001 NA NA NA NA 0.0904 0 0.974997812474329 0.951545731770278 0 249 0.0516003407569673 0.369937
chr1 10590001 NA NA NA NA 0 0.0366 0.99874495753531 0.934439771186266 1 NA NA 0.49555
chr1 10600001 NA NA NA NA 0 0.1175 0.989693209260742 0.943092564930372 1 NA NA 0.419842
