#1_usercol	2_usercol	3_usercol	4_pct_at	5_pct_gc	6_num_A	7_num_C	8_num_G	9_num_T	10_num_N	11_num_oth	12_seq_len
chr1	1	10000	0.565757	0.424242	2658	2157	2085	2999	100	0	9999
chr1	10001	20000	0.574157	0.425843	2897	2303	1955	2844	0	0	9999
chr1	20001	30000	0.574157	0.425843	2774	2010	2248	2967	0	0	9999
chr1	30001	40000	0.619262	0.380738	2955	1756	2051	3237	0	0	9999
chr1	40001	50000	0.564756	0.435244	3015	1841	2511	2632	0	0	9999
chr1	50001	60000	0.584758	0.415242	3175	2175	1977	2672	0	0	9999
chr1	60001	70000	0.627663	0.372337	3141	1853	1870	3135	0	0	9999
chr1	70001	80000	0.588859	0.411141	2991	2145	1966	2897	0	0	9999
chr1	80001	90000	0.561756	0.438244	2780	2175	2207	2837	0	0	9999
chr1	90001	100000	0.639964	0.360036	3087	1636	1964	3312	0	0	9999
chr1	100001	110000	0.661766	0.338234	3147	1722	1660	3470	0	0	9999
chr1	110001	120000	0.658066	0.341934	3171	1684	1735	3409	0	0	9999
chr1	120001	130000	0.562256	0.437744	2889	2231	2146	2733	0	0	9999
chr1	130001	140000	0.588859	0.411141	2950	2118	1993	2938	0	0	9999
chr1	140001	150000	0.612661	0.387339	3201	1906	1967	2925	0	0	9999
chr1	150001	160000	0.617862	0.382138	3183	1994	1827	2995	0	0	9999
chr1	160001	170000	0.725273	0.274727	3636	1569	1178	3616	0	0	9999
chr1	170001	180000	0.554555	0.445445	2585	2398	2056	2960	0	0	9999
chr1	180001	190000	0.582358	0.417642	3083	2099	2077	2740	0	0	9999
chr1	190001	200000	0.646865	0.353135	3078	1686	1845	3390	0	0	9999
chr1	200001	210000	0.581658	0.418342	2472	1934	2249	3344	0	0	9999
chr1	210001	220000	0.555956	0.444044	2707	2058	2382	2852	0	0	9999
chr1	220001	230000	0.559656	0.440344	2761	2135	2268	2835	0	0	9999
chr1	230001	240000	0.619762	0.380238	3185	1969	1833	3012	0	0	9999
chr1	240001	250000	0.568957	0.431043	2990	2227	2083	2699	0	0	9999
chr1	250001	260000	0.573257	0.426743	3075	2320	1947	2657	0	0	9999
chr1	260001	270000	0.535154	0.464846	2662	2480	2168	2689	0	0	9999
chr1	270001	280000	0.626663	0.373337	3089	1848	1885	3177	0	0	9999
chr1	280001	290000	0.543754	0.456246	2716	2345	2217	2721	0	0	9999
chr1	290001	300000	0.566657	0.433343	2819	2225	2108	2847	0	0	9999
chr1	300001	310000	0.352535	0.297730	1806	1728	1249	1719	3497	0	9999
chr1	310001	320000	0.625063	0.281228	3200	1583	1229	3050	937	0	9999
chr1	320001	330000	0.588359	0.411641	2921	2032	2084	2962	0	0	9999
chr1	330001	340000	0.703270	0.296730	3395	1537	1430	3637	0	0	9999
chr1	340001	350000	0.565657	0.434343	2816	2159	2184	2840	0	0	9999
chr1	350001	360000	0.517052	0.482948	2629	2527	2302	2541	0	0	9999
chr1	360001	370000	0.694069	0.305931	3488	1413	1646	3452	0	0	9999
chr1	370001	380000	0.546355	0.453645	2690	2266	2270	2773	0	0	9999
chr1	380001	390000	0.615962	0.384038	2952	2191	1649	3207	0	0	9999
chr1	390001	400000	0.615562	0.384438	3045	2046	1798	3110	0	0	9999
chr1	400001	410000	0.567357	0.432643	2726	2051	2275	2947	0	0	9999
